,title,Mean,Count
0,SE FC9955 Dummy Sensor Security Camera,5.0,43.0
1,Pelican 1200 Case With Foam (Black),5.0,36.0
2,Pelican 1400 Case With Foam (Black),5.0,24.0
3,Canon Deluxe Gadget Bag 100EG,5.0,16.0
4,"Legrand - Wiremold CDG-15 Corduct Overfloor Cord Protector- Rubber Duct Floor Cord Cover, Gray (15 Feet)",5.0,16.0
5,Canon Zoom Pack 1000 for Elan and Rebel Series Cameras -Holster Style,5.0,12.0
6,Case Logic CDW-32 32 Capacity Classic CD Wallet (Black),5.0,12.0
7,MobileEdge Touch Screen Tablet Computer Cases (7312120038621),5.0,12.0
8,"NETGEAR 8-Port Fast Ethernet Unmanaged Switch, Desktop, ProSAFE Lifetime Protection (FS108NA)",5.0,12.0
9,Nikon 52mm Screw-on NC Filter,5.0,12.0
10,Sangean DT-210 FM-Stereo/AM PLL Synthesized Pocket Receiver,5.0,12.0
11,"Sony ICF-S10MK2 Pocket AM/FM Radio, Silver",5.0,12.0
12,StarTech.com 6ft Standard Computer Power Cord - NEMA5-15P to C13 - PXT101,5.0,12.0
13,StarTech.com Black Aluminum 5.25in Professional SATA Hard Drive Mobile Rack Drawer,5.0,12.0
14,"TRENDnet 8-Port PS2 Rack Mount KVM Switch, TK-801R",5.0,12.0
15,"TRIPP LITE IBAR4-6D Isobar 4 Wide Spaced Outlet Surge Protector Power Strip, 6ft Cord Right Angle Plug, $50K INSURANCE (IBAR4)",5.0,12.0
16,Tenba TTP34 Car Case TriPak (634-508),5.0,12.0
17,ULAK Soft TPU Bumper PC Back Hybrid Case for iPod Touch 6/iPod Touch 5 - Retail Packaging - Clear Slim,5.0,12.0
18,VideoSecu Wall Ceiling Mount Bracket for CCTV CCD Box Body Camera 2-6 inch Adjustable Pan Tilt Bracket 1A2,5.0,10.0
19,"ECHOGEAR Full Motion Articulating TV Wall Mount Bracket for Most 37-70 inch LED, LCD, OLED and Plasma Flat Screen TVs w/VESA Patterns up to 600 x 400-16&quot; Extension - EGLF1-BK",4.933333333333334,30.0
20,"Noctua NH-D15, Premium CPU Cooler with 2x NF-A15 PWM 140mm Fans (Brown)",4.928571428571429,14.0
21,ZAGG InvisibleShield Original Screen Protector (Wet Apply) for Apple iPad Air/ iPad Air 2,4.916666666666667,12.0
22,"eBags Professional Slim Laptop Backpack for Travel, School &amp; Business - Fits 17&quot; Laptop - Anti-Theft - (Solid Black)",4.916666666666667,12.0
23,"AmazonBasics Nylon Braided Lightning to USB A Cable - MFi Certified iPhone Charger - Silver, 6-Foot",4.909090909090909,11.0
24,"Ape Case Cubeze 37, Camera Insert, Black/Yellow, Interior Case For Cameras (ACQB37)",4.909090909090909,11.0
25,"Co2Crea Hard EVA Shockproof Carrying Case Pouch Bag for Western Digital, Ultra Slim Essential Elements, Canvio, Samsung M3 Slimline, Passport - Black",4.909090909090909,11.0
26,"Fintie iPad Pro 9.7 Case - 360 Degree Rotating Case with Smart Stand Cover Auto Sleep/Wake Feature for Apple iPad Pro 9.7 inch (2016 Version), Balck",4.909090909090909,11.0
27,"Galaxy Tab E 8.0 Case, SUPCASE Unicorn Beetle PRO Series Full-Body Hybrid Protective Case with Screen Protector for Samsung Galaxy Tab E 8.0(SM-T377/T375) (Black/Black)",4.909090909090909,11.0
28,"ProCase 9.7-10.5 Inch Wallet Sleeve Case for iPad 9.7&quot;, iPad Pro 10.5&quot;, iPad Pro 9.7&quot;, iPad Air/Air 2, Samsung Galaxy Tab S3 S2 9.7/Tab A 10.1, Document Pocket and Pen Holder (Brown)",4.909090909090909,11.0
29,"MagicFiber Microfiber Cleaning Cloths, 30 PACK",4.9,10.0
30,Pelican 1200 Case with Foam for Camera,4.9,10.0
31,Reolink IP PoE Security Camera 4 Megapixels Super HD 2560x1440 4X Optical Zoom with SD Card Bullet Outdoor &amp; Indoor IR Night Vision Motion Detection RLC-411S &hellip;,4.9,10.0
